GRUPO;CODIGO_COMPOSICAO;DESCRICAO;UNIDADE;CUSTO_TOTAL_SP_RS
Acessibilidade;104658;PISO PODOTÁTIL DE ALERTA OU DIRECIONAL, DE CONCRETO, ASSENTADO SOBRE ARGAMASSA. AF_03/2024;M2;208.38
Acessibilidade;105002;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;832.38
Acessibilidade;105004;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;M2;141.11
Acessibilidade;105003;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;1417.38
Acessibilidade;105005;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;M2;249.43
Acessibilidade;105006;RAMPA DE ACESSIBILIDADE EM CONCRETO PRÉ MOLDADO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;0
Acessibilidade;104999;RAMPA DE ACESSIBILIDADE EM CONCRETO PRÉ MOLDADO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;0
Acessibilidade;105000;RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,20M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024;M;1386.42
Acessibilidade;105001;RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,50M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024;M;1419.86
Alvenaria Estrutural - Blocos Cerâmicos;107344;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107342;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107348;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107346;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107350;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107349;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107352;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107351;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 16 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107354;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107353;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 18 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107336;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 4 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107334;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 4 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;89306;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;112.3
Alvenaria Estrutural - Blocos Cerâmicos;89290;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 6 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;100.64
Alvenaria Estrutural - Blocos Cerâmicos;107340;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107338;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107343;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107341;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 10 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107347;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107345;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 12 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107335;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 4 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_07/2026;M2;0
Alvenaria Estrutural - Blocos Cerâmicos;107333;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39 CM (ESPESSURA 14 CM), FBK = 4 MPA, UTILIZANDO PALHETA. AF_07/2026;M2;0
