GRUPO;CODIGO_INSUMO;DESCRICAO;UNIDADE;PRECO_UNIT_SP_RS
SERVIÇOS;45333;ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL;UN;201.57
MATERIAL;11270;ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM;UN;2.4
MATERIAL;412;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM;UN;1.18
MATERIAL;414;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM;UN;0.07
MATERIAL;410;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM;UN;0.18
MATERIAL;411;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM;UN;0.23
MATERIAL;408;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM;UN;1.14
MATERIAL;39131;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO";UN;3.16
MATERIAL;394;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO";UN;3.2
MATERIAL;39130;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO";UN;2.88
MATERIAL;395;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO";UN;3.08
MATERIAL;39129;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO";UN;1.78
MATERIAL;393;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO";UN;1.86
MATERIAL;39127;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO";UN;1.52
MATERIAL;392;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO";UN;1.56
MATERIAL;39133;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO";UN;4.15
MATERIAL;397;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO";UN;4.59
MATERIAL;39132;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO";UN;3.32
MATERIAL;396;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO";UN;3.56
MATERIAL;39135;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO";UN;6.64
MATERIAL;39134;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO";UN;5.54
MATERIAL;398;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO";UN;5.1
MATERIAL;39128;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO";UN;1.66
MATERIAL;400;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO";UN;1.62
