"COD_EAP";"DESCRICAO_DO_SERVICO";"UNIDADE";"QUANTIDADE_TOTAL";"CUSTO_UNITARIO_BDI";"CUSTO_TOTAL";"EMPREITEIRO_VINCULADO"
"01.00.00";"SERVIÇOS PRELIMINARES E IMPLANTAÇÃO";"";"";"";"";""
"01.01.00";"Tapume de chapa de madeira compensada";"m2";"150.00";"R$ 85,00";"R$ 12.750,00";"Equipe Própria"
"01.02.00";"Locação da obra (Gabarito)";"m2";"300.00";"R$ 15,00";"R$ 4.500,00";"Topografia Alfa"
"02.00.00";"INFRAESTRUTURA E FUNDAÇÕES";"";"";"";"";""
"02.01.00";"Estaca Escavada (Trado Mecânico) diâm 30cm";"m";"400.00";"R$ 65,00";"R$ 26.000,00";"Fundações XYZ"
"02.02.00";"Concreto Usinado fck 30 MPa (Fundações)";"m3";"35.00";"R$ 450,00";"R$ 15.750,00";"Concreteira Beta"
"03.00.00";"SUPERESTRUTURA";"";"";"";"";""
"03.01.00";"Fôrma de madeira para pilares e vigas";"m2";"850.00";"R$ 75,00";"R$ 63.750,00";"Empreiteiro João (Carpintaria)"
"03.02.00";"Aço CA-50 (Armadura Estrutural)";"kg";"4500.00";"R$ 12,50";"R$ 56.250,00";"Gerdau"
"04.00.00";"ALVENARIA E VEDAÇÕES";"";"";"";"";""
"04.01.00";"Alvenaria de bloco cerâmico (14x19x29cm)";"m2";"1200.00";"R$ 45,00";"R$ 54.000,00";"Empreiteiro Silva (Alvenaria)"
