COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;PRANCHA_REFERENCIA;STATUS
1.3.1;Locação da Obra e Gabarito Topográfico;Infraestrutura e Fundações;m²;298.245;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.11;Impermeabilização com Tinta Asfáltica (Topo + 2 Lados);Infraestrutura e Fundações;m²;215.88;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.11.1;Impermeabilização com Tinta Asfáltica sobre Sapatas;Infraestrutura e Fundações;m²;60.87;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.13;Reaterro Manual/Mecanizado Compactado de Valas;Infraestrutura e Fundações;m³;21.348;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.13.1;Reaterro Compactado de Cavas de Sapatas;Infraestrutura e Fundações;m³;31.243;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.14;Carga e Remoção de Terra Excedente (Bota-fora);Infraestrutura e Fundações;m³;20.286;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.14.1;Bota-fora de Terra Excedente de Sapatas;Infraestrutura e Fundações;m³;10.487;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.4;Escavação Manual/Mecanizada de Valas para Baldrames;Infraestrutura e Fundações;m³;41.634;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.4.1;Escavação Mecânica/Manual de Cavas para Sapatas Isoladas;Infraestrutura e Fundações;m³;41.73;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.5;Apiloamento e Regularização de Fundo de Vala;Infraestrutura e Fundações;m²;92.52;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.5.1;Apiloamento e Regularização de Fundo de Cava para Sapatas;Infraestrutura e Fundações;m²;41.73;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.6;Lastro de Concreto Magro e=5cm para Fundação;Infraestrutura e Fundações;m³;4.626;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.6.1;Lastro de Concreto Magro e=5cm para Sapatas Isoladas;Infraestrutura e Fundações;m³;2.0865;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.7;Fôrma de Madeira Compensada Resinada para Baldrames;Infraestrutura e Fundações;m²;164.48;EGS-053, EGS-054;LEVANTADO
1.3.7.1;Fôrma de Madeira Compensada para Sapatas Isoladas;Infraestrutura e Fundações;m²;35.04;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.8;Armação Aço CA-50 em Vigas Baldrames;Infraestrutura e Fundações;kg;1077.3;EGS-053, EGS-054;LEVANTADO
1.3.8.1;Armação Aço CA-50 em Sapatas e Arranques de Pilares;Infraestrutura e Fundações;kg;401.7;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
1.3.9;Concreto Usinado Bombeável C30 para Vigas Baldrames;Infraestrutura e Fundações;m³;15.66;EGS-053, EGS-054;LEVANTADO
1.3.9.1;Concreto Usinado C30 para Sapatas Isoladas;Infraestrutura e Fundações;m³;8.4;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;LEVANTADO
