codigo;titulo;titulo_status;revisao;status;orientacao;arquivo_pdf;carimbo_img
AÇU-3.DES-2.3100-11-EGS-051;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-051 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-052;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-052 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-053;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-053 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-053 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-054;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-054 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-054 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-055;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-055 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-055 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-056;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-056 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-057;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-057 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-059;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-059 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-059 rev.A_carimbo.png
AÇU-3.DES-2.3100-11-EGS-060;Título não identificado;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-060 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-11-EGS-060 rev.A_carimbo.png
AÇU-3.DES-2.3100-15-EGS-015;CANAL DE ACESSO;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-15-EGS-015 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-15-EGS-015 rev.A_carimbo.png
AÇU-3.DES-2.3100-15-EGS-016;CANAL DE ACESSO;PENDENTE_REVISAO;A;VIGENTE;Priorizar para execução, quantitativos e consultas;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-15-EGS-016 rev.A.pdf;projetos/OBRA_PORTO/01_ENGENHARIA_E_PROJETOS/EDIFICIO_ADMINISTRATIVO/_carimbos_extraidos/AÇU-3.DES-2.3100-15-EGS-016 rev.A_carimbo.png
