item;codigo;titulo;revisao;arquivo_pdf;carimbo_img
1;U-3.DES-2.3100-11-EGS-051;Estrutura - Fôrmas e Armação de Sapatas e Baldrames (Prancha 01);A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-051 rev.A_carimbo.png
2;U-3.DES-2.3100-11-EGS-052;Estrutura - Planta e Cortes de Detalhamento de Sapatas (Prancha 02);A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-052 rev.A_carimbo.png
3;U-3.DES-2.3100-11-EGS-053;Estrutura - Detalhamento de Armação de Vigas VB1 a VB6;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-053 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-053 rev.A_carimbo.png
4;U-3.DES-2.3100-11-EGS-054;Estrutura - Detalhamento de Armação de Vigas VB11 a VB18;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-054 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-054 rev.A_carimbo.png
5;U-3.DES-2.3100-11-EGS-055;Estrutura - Fôrma e Detalhes das Nervuras das Lajes;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-055 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-055 rev.A_carimbo.png
6;U-3.DES-2.3100-11-EGS-056;Estrutura - Planta de Cobertura e Laje L2;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-056 rev.A_carimbo.png
7;U-3.DES-2.3100-11-EGS-057;Estrutura - Tabela de Dobramento de Aço e Relação de Armações;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-057 rev.A_carimbo.png
8;U-3.DES-2.3100-11-EGS-059;Estrutura - Quadro Geral de Resumo de Aço e Concreto;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-059 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-059 rev.A_carimbo.png
9;U-3.DES-2.3100-11-EGS-060;Estrutura - Locação de Pilares V114 e Cobertura;A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-11-EGS-060 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-11-EGS-060 rev.A_carimbo.png
10;U-3.DES-2.3100-15-EGS-015;Arquitetura - Layout de Pavimento e Legenda de Acabamentos (01);A;EDIFICIO_ADMINISTRATIVO/AÇU-3.DES-2.3100-15-EGS-015 rev.A.pdf;EDIFICIO_ADMINISTRATIVO\_carimbos_extraidos\AÇU-3.DES-2.3100-15-EGS-015 rev.A_carimbo.png
