Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$);Preco_Total;Preco_Unit;Pct_Individual;Pct_Acumulado;Classe_ABC
1.0.5;Vivência, Alimentação (Café+Almoço 16 operários) e Logística de Transporte (VT/Vans);Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / Benefícios CLT;R$ 23.114,42;R$ 138.686,52;138686.52;23114.42;8.350774922465122;8.350774922465122;A
1.0.1;Equipe de Gestão Técnica de Obra (Engenheiro Residente 60% + Mestre de Obras 100%);Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / Planejamento 6 Meses;R$ 22.636,26;R$ 135.817,56;135817.56;22636.26;8.17802533424591;16.528800256711033;A
2.1.3;Emboço/Reboco Paulista e=20mm em Paredes;Arquitetura;2122.88;m²;5.0;2229.02;m² (446 sacos argamassa);AÇU-3.DES-2.3100-15-EGS-015/016;R$ 55,87;R$ 118.605,31;118605.31;55.87;7.14161872703419;23.670418983745222;A
2.2.1.1;Telha Termoacústica Trapezoidal (Sandwich 30mm EPS);Cobertura;381.29;m²;10.0;70.0;telhas 6m (419.42 m²);AÇU-3.DES-2.3100-15-EGS-017;R$ 286,91;R$ 109.395,91;109395.91;286.91;6.587090236659277;30.2575092204045;A
2.1.1.1;Bloco Concreto Inteiro B144 (14x19x39cm);Arquitetura;12733.0;unid;5.0;13370.0;blocos inteiros;AÇU-3.DES-2.3100-15-EGS-015/018;R$ 7,35;R$ 93.587,55;93587.55;7.35;5.635216498293784;35.89272571869829;A
1.0.2;Equipe de Apoio e Segurança (Técnico Seg Trabalho + Almoxarife + Vigia);Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / NR-4 e NR-18;R$ 14.624,55;R$ 87.747,30;87747.3;14624.55;5.283555693473482;41.17628141217177;A
2.1.5.1;Piso Porcelanato 60x60cm Retificado;Arquitetura;368.4;m²;10.0;282.0;caixas (406.08 m²);AÇU-3.DES-2.3100-15-EGS-015/016;R$ 157,14;R$ 57.890,38;57890.38;157.14;3.485771606036235;44.662053018208006;A
2.1.8.1;Pintura Látex Acrílica 3 Demãos (Paredes + Tetos);Arquitetura;2491.28;m²;5.0;36.0;latas 18L (2615.8 m²);AÇU-3.DES-2.3100-15-EGS-015/019;R$ 19,65;R$ 48.953,65;48953.65;19.65;2.947661479883804;47.60971449809181;A
1.0.3;Locação de Módulos Habitáveis Containers NR-18 (4 un) + Sanitários Químicos (2 un) + Frete;Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / Canteiro NR-18;R$ 8.117,68;R$ 48.706,08;48706.08;8117.68;2.9327544698329735;50.54246896792478;A
3.3.1;Aparelho Split Cassete 36.000 BTU/h Inverter R410A;HVAC;4.0;unid;0.0;4.0;conjuntos;AÇU-3.DES-2.3100-64-EGS-008;R$ 11.818,64;R$ 47.274,56;47274.56;11818.64;2.8465579071316576;53.389026875056445;A
2.1.9.1;Esquadrias de Madeira/Alumínio (Portas P1-P5);Arquitetura;24.0;unid;0.0;24.0;conjuntos;AÇU-3.DES-2.3100-15-EGS-018;R$ 1.749,80;R$ 41.995,20;41995.2;1749.8;2.5286701477829805;55.91769702283943;A
1.0.6;Saúde Ocupacional (PGR/PCMSO/ASO), Fardamento/EPIs e Apoio Mecânico c/ Caçambas;Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / PGRCC e SST;R$ 6.146,55;R$ 36.879,30;36879.3;6146.55;2.22062485667726;58.13832187951669;A
1.2.6;Fôrma Compensado Resinado 17mm para Lajes (Face Inferior / Fundo);Supraestrutura;263.48;m²;10.0;120.0;chapas (290.40 m²);AÇU-3.DES-2.3100-11-EGS-055;R$ 124,88;R$ 32.903,38;32903.38;124.88;1.9812215388225216;60.11954341833921;A
1.2.8;Vigotas Treliçadas TR 16745 para Lajes H12;Supraestrutura;968.8;m;5.0;1017.24;m;AÇU-3.DES-2.3100-11-EGS-059;R$ 33,70;R$ 32.648,56;32648.56;33.7;1.9658779822480072;62.08542140058722;A
1.2.4;Fôrma Compensado Resinado 17mm para Vigas Superiores (fundo e laterais líquidas);Supraestrutura;208.62;m²;10.0;95.0;chapas (229.90 m²);AÇU-3.DES-2.3100-11-EGS-055/057;R$ 146,75;R$ 30.614,99;30614.99;146.75;1.8434299940868117;63.928851394674034;A
3.3.2;Aparelho Split Hi-Wall 18.000 BTU/h Inverter R410A;HVAC;6.0;unid;0.0;6.0;conjuntos;AÇU-3.DES-2.3100-64-EGS-008;R$ 4.174,33;R$ 25.045,98;25045.98;4174.33;1.508101448450527;65.43695284312456;A
1.2.10;Armadura CA-50 Pilares e Vigas (EGS-060: 395,0kg + EGS-056/057: 1.485,1kg);Supraestrutura;1880.1;kg;5.0;165.0;barras 12m (1974.1 kg);AÇU-3.DES-2.3100-11-EGS-056/057/060;R$ 12,83;R$ 24.121,68;24121.68;12.83;1.4524462826793008;66.88939912580386;A
1.2.7;Escoramento/Cimbramento Metálico de Lajes e Vigas;Supraestrutura;888.78;m²·m;0.0;888.78;m²·m;AÇU-3.DES-2.3100-11-EGS-055/060;R$ 23,53;R$ 20.912,99;20912.99;23.53;1.2592404254268106;68.14863955123067;A
3.3.4;"Tubulação Cobre Flexível Ø3/8""+Ø5/8"" c/ Isolamento";HVAC;180.0;m;10.0;198.0;m;AÇU-3.DES-2.3100-64-EGS-008;R$ 104,92;R$ 18.885,60;18885.6;104.92;1.1371645555437349;69.2858041067744;A
1.0.4;Contas Provisórias de Consumo de Canteiro (Energia, Água Pipa e Internet Fibra);Administração Local e Canteiro;6.0;mês;0.0;6.0;mês;EAP 1.1 / Concessionárias;R$ 2.988,50;R$ 17.931,00;17931.0;2988.5;1.0796849263700763;70.36548903314448;A
3.3.3;Aparelho Split Hi-Wall 12.000 BTU/h Inverter R410A;HVAC;6.0;unid;0.0;6.0;conjuntos;AÇU-3.DES-2.3100-64-EGS-008;R$ 2.901,81;R$ 17.410,86;17410.86;2901.81;1.0483655734281248;71.41385460657261;A
3.1.15;Cabo UTP Cat6 LSZH 4 Pares (Dados/Voz);Telecom;1450.0;m;10.0;16.0;rolos de 100m (1600m);AÇU-3.DES-2.3100-16-EGS-013;R$ 11,94;R$ 17.313,00;17313.0;11.94;1.042473098558091;72.4563277051307;A
2.1.2;Chapisco Traço 1:3 e=5mm em Paredes;Arquitetura;2122.88;m²;5.0;2229.02;m² (75 sacos cimento);AÇU-3.DES-2.3100-15-EGS-015/016;R$ 7,87;R$ 16.707,07;16707.07;7.87;1.005988045441398;73.4623157505721;A
1.1.9;Fôrma Compensado Resinado 17mm para Vigas Baldrames (140,44m);Infraestrutura;112.35;m²;10.0;52.0;chapas (125.84 m²);AÇU-3.DES-2.3100-11-EGS-053/054;R$ 146,75;R$ 16.487,36;16487.36;146.75;0.9927585783077878;74.45507432887989;A
2.1.4;Contrapiso de Regularização e=3cm;Arquitetura;368.4;m²;5.0;386.82;m² (11.6 m³ argamassa);AÇU-3.DES-2.3100-15-EGS-015/018;R$ 43,89;R$ 16.169,08;16169.08;43.89;0.9735938848514791;75.42866821373137;A
2.1.8.4;Lixa Fina p/ Massa/Gesso (Grão 150/220);Arquitetura;249.0;unid;5.0;262.0;folhas;AÇU-3.DES-2.3100-15-EGS-015/019;R$ 63,59;R$ 15.833,91;15833.91;63.59;0.9534121885282703;76.38208040225965;A
1.2.2;Fôrma Compensado Resinado 17mm para Pilares P1 a P24 (4 faces);Supraestrutura;85.82;m²;10.0;40.0;chapas (96.80 m²);AÇU-3.DES-2.3100-11-EGS-060;R$ 176,13;R$ 15.115,48;15115.48;176.13;0.9101531376302694;77.29223353988992;A
1.2.3;Concreto Usinado fck 30 MPa para Vigas Superiores e Cobertura (V101 a V115);Supraestrutura;17.38;m³;5.0;18.25;m³ (3 betoneiras);AÇU-3.DES-2.3100-11-EGS-055/057;R$ 864,74;R$ 15.029,18;15029.18;864.74;0.904956728665586;78.1971902685555;A
1.1.12;Armadura CA-50 Vigas Baldrames VB1-VB19 (EGS-053: 694,8kg + EGS-054: 382,5kg);Infraestrutura;1077.3;kg;5.0;199.0;barras 12m (1131.2 kg);AÇU-3.DES-2.3100-11-EGS-053/054;R$ 13,26;R$ 14.285,00;14285.0;13.26;0.8601471849420858;79.05733745349758;A
2.1.7;Rodapé Porcelanato h=10cm;Arquitetura;384.2;m;10.0;422.62;m;AÇU-3.DES-2.3100-15-EGS-015/018;R$ 36,24;R$ 13.923,41;13923.41;36.24;0.8383746528732576;79.89571210637084;A
3.1.1;Cabo Cobre Flexível 750V 2,5mm² (Iluminação/TUG);Elétrica;1850.0;m;10.0;21.0;rolos de 100m (2035m);AÇU-3.DES-2.3100-16-EGS-013;R$ 7,36;R$ 13.616,00;13616.0;7.36;0.8198644781359076;80.71557658450675;B
1.1.8;Concreto Usinado fck 30 MPa para Vigas Baldrames VB1-VB19 (25x40cm - 140,44m);Infraestrutura;14.04;m³;5.0;14.74;m³ (2 betoneiras);AÇU-3.DES-2.3100-11-EGS-053/054;R$ 903,05;R$ 12.678,82;12678.82;903.05;0.7634337648853634;81.47901034939211;B
1.2.11;Armadura CA-60 para Lajes Treliçadas H12 (Prancha EGS-059);Supraestrutura;999.8;kg;5.0;429.0;barras 12m (1049.8 kg);AÇU-3.DES-2.3100-11-EGS-059;R$ 12,04;R$ 12.037,59;12037.59;12.04;0.7248231817981801;82.2038335311903;B
1.2.5;Concreto Usinado fck 30 MPa para Capa de Laje Treliçada e=5cm;Supraestrutura;13.17;m³;5.0;13.83;m³ (2 betoneiras);AÇU-3.DES-2.3100-11-EGS-055/059;R$ 864,74;R$ 11.388,63;11388.63;864.74;0.6857471497967788;82.88958068098708;B
1.1.13;Impermeabilização Tinta Asfáltica (Baldrames e Sapatas);Infraestrutura;183.36;m²;10.0;201.7;m² (12 galões 18L);AÇU-3.DES-2.3100-11-EGS-051/054;R$ 61,04;R$ 11.192,29;11192.29;61.04;0.6739248678022721;83.56350554878935;B
3.1.4;Cabo Cobre Sintenax 0,6/1kV 35mm² (Alimentador);Elétrica;120.0;m;5.0;126.0;m;AÇU-3.DES-2.3100-16-EGS-013;R$ 87,11;R$ 10.453,20;10453.2;87.11;0.629421809845055;84.1929273586344;B
2.1.5.2;Argamassa Colante AC-III p/ Porcelanato (Dupla Colagem);Arquitetura;3684.0;kg;5.0;194.0;sacos 20kg;AÇU-3.DES-2.3100-15-EGS-015/016;R$ 2,81;R$ 10.352,04;10352.04;2.81;0.6233306310401029;84.81625798967451;B
2.1.6.1;Revestimento Cerâmico h=1,80m nos WCs (Eliane 45x45 Plus Gray);Arquitetura;84.2;m²;10.0;65.0;caixas (92.6 m²);AÇU-3.DES-2.3100-15-EGS-018;R$ 121,32;R$ 10.215,14;10215.14;121.32;0.6150874284066712;85.43134541808118;B
3.1.5;"Eletroduto Rígido PVC Ø3/4"" (25mm) c/ Conexões";Elétrica;480.0;m;10.0;176.0;varas de 3m (528m);AÇU-3.DES-2.3100-16-EGS-013;R$ 17,74;R$ 8.515,20;8515.2;17.74;0.5127284080657227;85.9440738261469;B
2.1.10.1;Esquadrias de Alumínio Vidro (Janelas J1-J4);Arquitetura;18.0;unid;0.0;18.0;conjuntos;AÇU-3.DES-2.3100-15-EGS-018;R$ 467,79;R$ 8.420,22;8420.22;467.79;0.5070093475388903;86.4510831736858;B
1.1.4;Concreto Usinado fck 30 MPa para 32 Sapatas Isoladas (S1-S24 e SE1-SE8);Infraestrutura;8.55;m³;5.0;8.98;m³ (2 betoneiras);AÇU-3.DES-2.3100-11-EGS-052;R$ 951,89;R$ 8.138,66;8138.66;951.89;0.49005568695840074;86.9411388606442;B
3.2.25;Bacia Sanitária c/ Caixa Acoplada 3/6L e Assento;Hidráulica;10.0;unid;0.0;10.0;conjuntos;AÇU-3.DES-2.3100-16-EGS-015;R$ 750,35;R$ 7.503,50;7503.5;750.35;0.45181059868484;87.39294945932905;B
3.1.2;Cabo Cobre Flexível 750V 4,0mm² (Tomadas TUG/TUE);Elétrica;640.0;m;10.0;8.0;rolos de 100m (704m);AÇU-3.DES-2.3100-16-EGS-013;R$ 10,75;R$ 6.880,00;6880.0;10.75;0.4142675976479909;87.80721705697704;B
3.1.3;Cabo Cobre Flexível 750V 6,0mm² (Ar Condicionado);Elétrica;420.0;m;10.0;5.0;rolos de 100m (462m);AÇU-3.DES-2.3100-16-EGS-013;R$ 16,28;R$ 6.837,60;6837.6;16.28;0.4117145531508579;88.2189316101279;B
3.1.27;Painel LED Embutir 60x60cm 40W 4000K;Elétrica;68.0;unid;5.0;72.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 99,83;R$ 6.788,44;6788.44;99.83;0.40875446665371035;88.6276860767816;B
2.1.1.11;Encunhamento Flexível no Topo da Parede (sob vigas);Arquitetura;385.0;m;0.0;385.0;m;AÇU-3.DES-2.3100-15-EGS-015;R$ 16,28;R$ 6.267,80;6267.8;16.28;0.3774050070549531;89.00509108383655;B
3.2.26;Lavatório Louça Branca c/ Torneira Automática de Mesa;Hidráulica;12.0;unid;0.0;12.0;conjuntos;AÇU-3.DES-2.3100-16-EGS-015;R$ 521,40;R$ 6.256,80;6256.8;521.4;0.3767426606052252;89.38183374444178;B
2.2.6.1;Impermeabilização Manta Asfáltica 4mm em Calhas;Cobertura;62.0;m²;15.0;8.0;rolos de 10m² (71.3 m²);AÇU-3.DES-2.3100-15-EGS-017/019;R$ 99,83;R$ 6.189,46;6189.46;99.83;0.3726878960666183;89.7545216405084;B
3.2.21;Reservatório de Água Potável Polietileno 5.000 L c/ Tampa;Hidráulica;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 3.047,50;R$ 6.095,00;6095.0;3047.5;0.36700014646286405;90.12152178697127;B
3.2.6;Tubo PVC Pluvial Série Reforçada Ø150mm;Hidráulica;110.0;m;10.0;21.0;varas de 6m (126m);AÇU-3.DES-2.3100-16-EGS-015;R$ 53,41;R$ 5.875,10;5875.1;53.41;0.35375923879966736;90.47528102577094;B
2.1.11.1;Impermeabilização Polimérica Sanitários/Copa;Arquitetura;84.2;m²;10.0;19.0;caixas 18kg (92.62 m²);AÇU-3.DES-2.3100-15-EGS-015/016;R$ 66,64;R$ 5.611,09;5611.09;66.64;0.3378623218730618;90.813143347644;B
1.2.1;Concreto Usinado fck 30 MPa para Pilares P1 a P24 (h=2,98m);Supraestrutura;6.44;m³;5.0;6.76;m³ (1 betoneira);AÇU-3.DES-2.3100-11-EGS-060;R$ 830,15;R$ 5.346,17;5346.17;830.15;0.3219106108310697;91.13505395847507;B
2.1.1.6;Cimento Portland CP II-E-32 (Argamassa Assentamento);Arquitetura;5519.0;kg;5.0;116.0;sacos 50kg;AÇU-3.DES-2.3100-15-EGS-015;R$ 0,89;R$ 4.911,91;4911.91;0.89;0.2957623772620847;91.43081633573715;B
3.1.6;"Eletroduto Rígido PVC Ø1"" (32mm) c/ Conexões";Elétrica;210.0;m;10.0;77.0;varas de 3m (231m);AÇU-3.DES-2.3100-16-EGS-013;R$ 23,14;R$ 4.859,40;4859.4;23.14;0.29260057616433816;91.72341691190148;B
1.1.5;Fôrma Compensado Resinado 17mm para Sapatas Isoladas (Tronco);Infraestrutura;35.88;m²;10.0;17.0;chapas (41.14 m²);AÇU-3.DES-2.3100-11-EGS-052;R$ 133,06;R$ 4.774,19;4774.19;133.06;0.2874697997114915;92.01088671161297;B
3.2.5;Tubo PVC Esgoto Série Normal Ø100mm;Hidráulica;140.0;m;10.0;26.0;varas de 6m (156m);AÇU-3.DES-2.3100-16-EGS-015;R$ 33,74;R$ 4.723,60;4723.6;33.74;0.2844236081758793;92.29531031978885;B
1.1.7;Fôrma Compensado Resinado 17mm para Arranques dos Pilares P1-P24;Infraestrutura;25.76;m²;10.0;12.0;chapas (29.04 m²);AÇU-3.DES-2.3100-11-EGS-052;R$ 176,13;R$ 4.537,11;4537.11;176.13;0.2731944273204471;92.5685047471093;B
2.1.10.2;Selante PU 40 / Silicone Neutro 310ml p/ Caixilhos;Arquitetura;124.7;m;5.0;14.0;tubos de 310ml;AÇU-3.DES-2.3100-15-EGS-018;R$ 36,24;R$ 4.519,13;4519.13;36.24;0.27211179194171004;92.84061653905101;B
2.2.9;Chapisco e Emboço/Reboco e=20mm Face Interna da Platibanda;Cobertura;74.62;m²;5.0;78.35;m² (16 sacos argamassa);AÇU-3.DES-2.3100-15-EGS-017;R$ 55,87;R$ 4.169,02;4169.02;55.87;0.2510305087131435;93.09164704776416;B
1.1.10;Armadura CA-50 Ø8,0mm (Armadura das 32 Sapatas Isoladas);Infraestrutura;256.0;kg;5.0;68.0;barras 12m (268.8 kg);AÇU-3.DES-2.3100-11-EGS-052;R$ 15,83;R$ 4.052,48;4052.48;15.83;0.2440132491448445;93.335660296909;B
3.3.5;Tubo PVC Condensado Ø25mm c/ Isolamento;HVAC;120.0;m;10.0;22.0;varas de 6m (132m);AÇU-3.DES-2.3100-64-EGS-008;R$ 31,42;R$ 3.770,40;3770.4;31.42;0.2270282776412769;93.56268857455028;B
2.2.3;Muretas Escalonadas de Apoio no Entreforro (Bloco 9x19x39cm);Cobertura;45.24;m²;5.0;594.0;blocos 9x19x39cm;AÇU-3.DES-2.3100-15-EGS-017;R$ 79,48;R$ 3.595,68;3595.68;79.48;0.21650780748705348;93.77919638203733;B
1.1.3;Lastro de Concreto Magro fck 15 MPa e=5cm sob Sapatas e Baldrames;Infraestrutura;3.04;m³;5.0;3.19;m³ (0.5 betoneira);AÇU-3.DES-2.3100-11-EGS-051/052;R$ 1.116,12;R$ 3.393,00;3393.0;1116.12;0.204303773084249;93.98350015512158;B
2.2.5;Rufo e Pingadeira Metálica de Platibanda (Dev 40cm);Cobertura;82.0;m;5.0;29.0;peças de 3m (86.10 m);AÇU-3.DES-2.3100-15-EGS-017;R$ 41,33;R$ 3.389,06;3389.06;41.33;0.20406653262861918;94.18756668775019;B
2.1.8.2;Selador Acrílico Base Água p/ Reboco Novo;Arquitetura;212.3;L;5.0;13.0;latas 18L (223 L);AÇU-3.DES-2.3100-15-EGS-015/019;R$ 14,42;R$ 3.061,37;3061.37;14.42;0.18433523189122528;94.37190191964142;B
2.2.8;Alvenaria de Platibanda Bloco Concreto 14x19x39cm (h=0,39m);Cobertura;31.98;m²;5.0;420.0;blocos 14x19x39cm;AÇU-3.DES-2.3100-15-EGS-017;R$ 92,58;R$ 2.960,71;2960.71;92.58;0.17827415974307895;94.5501760793845;B
3.1.19;Switch Gigabit Ethernet 24 Portas PoE;Telecom;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 2.817,50;R$ 2.817,50;2817.5;2817.5;0.1696510111007579;94.71982709048525;B
2.1.1.7;Cal Hidratada CH-I (Argamassa Assentamento);Arquitetura;1910.0;kg;5.0;101.0;sacos 20kg;AÇU-3.DES-2.3100-15-EGS-015;R$ 1,46;R$ 2.788,60;2788.6;1.46;0.16791084633738187;94.88773793682263;B
3.2.2;"Tubo PVC Soldável Água Fria Ø50mm (1.1/2"")";Hidráulica;95.0;m;10.0;18.0;varas de 6m (108m);AÇU-3.DES-2.3100-16-EGS-015;R$ 28,99;R$ 2.754,05;2754.05;28.99;0.16583047635210021;95.05356841317473;C
2.1.1.8;Areia Média Lavada (Argamassa Assentamento);Arquitetura;23.35;m³;5.0;24.5;m³;AÇU-3.DES-2.3100-15-EGS-015;R$ 117,00;R$ 2.731,95;2731.95;117.0;0.16449976212128323;95.21806817529601;C
3.1.18;"Patch Panel 24 Portas Cat6 19""";Telecom;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 1.331,45;R$ 2.662,90;2662.9;1331.45;0.16034203281640044;95.37841020811241;C
2.1.1.3;Bloco Canaleta Concreto C144 (14x19x39cm);Arquitetura;281.0;unid;5.0;296.0;blocos canaleta;AÇU-3.DES-2.3100-15-EGS-015/018;R$ 9,16;R$ 2.573,96;2573.96;9.16;0.15498666070378236;95.5333968688162;C
2.1.1.2;Meio Bloco Concreto B142 (14x19x19cm);Arquitetura;508.0;unid;5.0;534.0;meios blocos;AÇU-3.DES-2.3100-15-EGS-015/018;R$ 4,90;R$ 2.489,20;2489.2;4.9;0.14988298024206087;95.68327984905825;C
2.2.2.1;Terças Metálicas Perfil U Enrijecido 100x40x2,25mm;Cobertura;156.0;m;5.0;28.0;barras de 6m (573.3 kg);AÇU-3.DES-2.3100-15-EGS-017;R$ 15,46;R$ 2.411,76;2411.76;15.46;0.14522006123597653;95.82849991029423;C
2.1.1.4;Graute Fino Industrializado p/ Canaletas;Arquitetura;1.42;m³;5.0;75.0;sacos 25kg (1.49 m³);AÇU-3.DES-2.3100-15-EGS-015;R$ 1.682,40;R$ 2.389,01;2389.01;1682.4;0.14385020835131204;95.97235011864554;C
