Categoria / Disciplina;Descrição do Insumo / Miudeza de Canteiro;Quantidade Comercial UCC;Unidade Comercial;Observação Técnica / Aplicação
Estrutura/Fôrmas;Chapa Compensado Resinado 17mm (2,20m x 1,10m);552;chapas;Substituição e reaproveitamento 3x para infra/supra
Estrutura/Fôrmas;Prego c/ Cabeça 17x27mm (para Fôrmas);120;kg (6 caixas 20kg);Consumo 0,20 kg/m² de fôrma (597 m² fôrmas)
Estrutura/Fôrmas;Prego c/ Cabeça 18x30mm (para Gravatas e Trava);80;kg (4 caixas 20kg);Consumo para travamento de pilares e vigas
Estrutura/Fôrmas;Desmoldante Biodegradável para Fôrmas;90;L (5 galões 18L);Consumo 0,15 L/m² de fôrma
Estrutura/Fôrmas;Tábua de 3ª 2,5x30cm Pinus/Eucalipto (Varas 3m);120;varas;Gravatas, sarrafos e alinhamento de fôrmas
Estrutura/Fôrmas;Escoramento Metálico/Cimbramento;1178.88;m²·m;Locação por período para lajes e vigas
Aço/Armadura;Aço CA-50 Ø10,0mm / Ø12,5mm / Ø16,0mm;988;barras de 12m;Infraestrutura (302 bar) + Supraestrutura (686 bar)
Aço/Armadura;Aço CA-60 Ø5,0mm / Ø6,3mm (Estribos);1282;barras de 12m;Infraestrutura (373 bar) + Supraestrutura (909 bar)
Aço/Armadura;Arame Recozido BWG 18 (Amarração);215;kg (215 rolos 1kg);Consumo 1,5% do peso de aço (14.856 kg)
Aço/Armadura;Espaçador/Pastilha Concreto Cobrimento 40mm;1313;unidades;Blocos de coroamento e vigas baldrame
Aço/Armadura;Espaçador Plástico de Cobrimento 25mm/30mm;2993;unidades;Pilares, vigas e laje de supraestrutura
Concreto/Solo;Concreto Usinado fck 30 MPa (Bomba);124;m³ (16 betoneiras 8m³);Infraestrutura (45m³) + Supraestrutura (79m³)
Concreto/Solo;Concreto Magro fck 15 MPa (Lastro);10;m³ (2 betoneiras 8m³);Lastro das cavas de fundação e baldrames
Concreto/Solo;Argamassa Pronta p/ Emboço/Reboco (sacos 20kg);462;sacos de 20kg;Paredes internas e face interna da platibanda
Concreto/Solo;Cimento Portland CP II-Z-32 (sacos 50kg);75;sacos de 50kg;Chapisco e regularizações de canteiro
Alvenaria/Vedação;Bloco Concreto Inteiro B144 (14x19x39cm);13790;blocos inteiros;Vedação (13.370 un) + Platibanda (420 un)
Alvenaria/Vedação;Meio Bloco Concreto B142 (14x19x19cm);534;meios blocos;Amarração de cantos e vãos sem quebra de blocos
Alvenaria/Vedação;Bloco Canaleta Concreto C144 (14x19x39cm);296;blocos canaleta;Vergas e contravergas de portas e janelas
Alvenaria/Vedação;Graute Fino Industrializado p/ Canaletas;75;sacos 25kg;Preenchimento estrutural de canaletas (1,49 m³)
Alvenaria/Vedação;Barra de Aço CA-50 Ø8,0mm p/ Vergas;20;barras 12m;Armadura longitudinal de vergas/contravergas (93,2 kg)
Alvenaria/Vedação;Tela Metálica Galvanizada 15x50cm;353;telas de amarração;Amarração pilar-alvenaria a cada 2 fiadas
Alvenaria/Vedação;Pinos de Aço c/ Arruela p/ Finca-Pinos;8;caixas 100un;Fixação das telas de amarração nos pilares (742 un)
Alvenaria/Vedação;Cimento Portland CP II-E-32 (Assentamento);116;sacos 50kg;Argamassa de assentamento traço 1:2:8
Alvenaria/Vedação;Cal Hidratada CH-I (Assentamento);101;sacos 20kg;Argamassa de assentamento traço 1:2:8
Alvenaria/Vedação;Areia Média Lavada (Assentamento);24.5;m³;Areia para argamassa de assentamento
Alvenaria/Vedação;Encunhamento Flexível no Topo;385;m lineares;Fechamento elástico topo alvenaria sob vigas
Alvenaria/Vedação;Bloco Concreto 9x19x39cm (Muretas);594;blocos 9x19x39cm;Muretas escalonadas de apoio de terças no entreforro
Alvenaria/Vedação;Contrapiso de Regularização e=3cm;386.82;m²;11,6 m³ de argamassa sobre laje térrea
Pisos/Acabamentos;Piso Porcelanato Retificado 60x60cm;282;caixas (406.08 m²);Área útil com 10% perda
Pisos/Acabamentos;Argamassa Colante AC-III (Porcelanato);194;sacos 20kg;Dupla colagem 10 kg/m²
Pisos/Acabamentos;Rejunte Flexível Porcelanato Junta 2mm;20;sacos 5kg;Rejuntamento de porcelanato retificado
Pisos/Acabamentos;Clips Niveladores Plásticos 60x60cm;41;sacos 100un;Assentamento e nivelamento de porcelanato (4.100 un)
Pisos/Acabamentos;Cunhas Niveladoras Reutilizáveis;13;sacos 100un;Giro de 30% da frente de trabalho (1.300 un)
Pisos/Acabamentos;Revestimento Cerâmico WCs 45x45 Eliane;65;caixas (92.6 m²);Paredes sanitários/copa h=1,80m
Pisos/Acabamentos;Argamassa Colante AC-II (Parede);23;sacos 20kg;Assentamento cerâmico de parede
Pisos/Acabamentos;Rejunte Cerâmico Antimofo Junta 3mm;6;sacos 5kg;Rejuntamento de paredes molhadas
Pisos/Acabamentos;Espaçadores / Cruzetas Plásticas 2/3mm;28;sacos 100un;Juntas de assentamento cerâmico e pisos
