Codigo_CC;Nivel;Descricao_Centro_Custo;EAP_Macro_Vinculada;Natureza_Gasto;Conta_Contabil
CC-100;Sintético;CANTEIRO DE OBRAS & ADMINISTRAÇÃO LOCAL;1.0;Custo Direto Canteiro;4.1.1.01
CC-101;Analítico;Gestão Técnica de Obra (Eng. Residente e Mestre);1.0.1;Mão de Obra Indireta;4.1.1.01.01
CC-102;Analítico;Apoio e Segurança (TST, Almoxarife, Vigia);1.0.2;Mão de Obra Indireta;4.1.1.01.02
CC-103;Analítico;Locação de Containers Habitáveis e Sanitários Químicos;1.0.3;Locação de Equipamentos;4.1.1.01.03
CC-104;Analítico;Contas de Consumo Canteiro (Energia, Água Pipa, Fibra);1.0.4;Utilidades e Serviços;4.1.1.01.04
CC-105;Analítico;Vivência, Alimentação (16 operários) e Transporte;1.0.5;Benefícios Operacionais;4.1.1.01.05
CC-106;Analítico;SST, PGR/PCMSO, EPIs, Caçambas e Apoio;1.0.6;Segurança e Descarte;4.1.1.01.06
CC-200;Sintético;INFRAESTRUTURA & FUNDAÇÕES;1.1;Custo Direto Físico;4.1.2.01
CC-201;Analítico;Escavação Mecanizada/Manual e Compactação de Valas;1.1.1 e 1.1.2;Serviço de Terraplenagem;4.1.2.01.01
CC-202;Analítico;Lastro de Concreto Magro fck 15 MPa (e=5cm);1.1.3;Material - Concreto;4.1.2.01.02
CC-203;Analítico;Concreto Usinado fck 30 MPa - Sapatas Isoladas;1.1.4;Material - Concreto Usinado;4.1.2.01.03
CC-204;Analítico;Fôrmas Compensado 17mm - Sapatas Isoladas;1.1.5;Material - Madeira e Fôrmas;4.1.2.01.04
CC-205;Analítico;Concreto e Fôrmas - Arranques de Pilares P1-P24;1.1.6 e 1.1.7;Material - Concreto e Fôrmas;4.1.2.01.05
CC-206;Analítico;Concreto Usinado fck 30 MPa - Vigas Baldrames;1.1.8;Material - Concreto Usinado;4.1.2.01.06
CC-207;Analítico;Fôrmas Compensado 17mm - Vigas Baldrames (140m);1.1.9;Material - Madeira e Fôrmas;4.1.2.01.07
CC-208;Analítico;Armadura CA-50 Cortada/Dobrada - Sapatas Isoladas;1.1.10;Material - Aço Estrutural;4.1.2.01.08
CC-209;Analítico;Armadura CA-50 Cortada/Dobrada - Arranques de Pilares;1.1.11;Material - Aço Estrutural;4.1.2.01.09
CC-210;Analítico;Armadura CA-50 Cortada/Dobrada - Vigas Baldrames;1.1.12;Material - Aço Estrutural;4.1.2.01.10
CC-211;Analítico;Impermeabilização Tinta Asfáltica (Baldrames e Sapatas);1.1.13;Material - Impermeabilizantes;4.1.2.01.11
CC-212;Analítico;Reaterro Compactado e Bota-Fora de Cavas;1.1.14 e 1.1.15;Serviço de Terraplenagem;4.1.2.01.12
CC-300;Sintético;SUPRAESTRUTURA (PILARES, VIGAS E LAJES);1.2;Custo Direto Físico;4.1.2.02
CC-301;Analítico;Concreto Usinado fck 30 MPa - Pilares P1 a P24;1.2.1;Material - Concreto Usinado;4.1.2.02.01
CC-302;Analítico;Fôrmas Compensado 17mm - Pilares P1 a P24;1.2.2;Material - Madeira e Fôrmas;4.1.2.02.02
CC-303;Analítico;Concreto Usinado fck 30 MPa - Vigas Superiores e Cobertura;1.2.3;Material - Concreto Usinado;4.1.2.02.03
CC-304;Analítico;Fôrmas Compensado 17mm - Vigas Superiores;1.2.4;Material - Madeira e Fôrmas;4.1.2.02.04
CC-305;Analítico;Concreto Usinado fck 30 MPa - Capa de Laje Treliçada e=5cm;1.2.5;Material - Concreto Usinado;4.1.2.02.05
CC-306;Analítico;Fôrmas e Escoramento Metálico - Lajes e Vigas;1.2.6 e 1.2.7;Locação de Equipamentos / Fôrma;4.1.2.02.06
CC-307;Analítico;Vigotas Treliçadas TR 16745 e EPS para Lajes H12;1.2.8 e 1.2.9;Material - Laje Premoldada;4.1.2.02.07
