Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$)
1.1.1;Escavação Mecanizada/Manual de Cavas e Valas (Geometria Líquida);Infraestrutura;51.27;m³;0.0;51.27;m³;AÇU-3.DES-2.3100-11-EGS-051/052;-;-
1.1.2;Apiloamento e Compactação do Fundo de Cava/Vala Líquido;Infraestrutura;60.74;m²;0.0;60.74;m²;AÇU-3.DES-2.3100-11-EGS-051/052;-;-
1.1.3;Lastro de Concreto Magro fck 15 MPa e=5cm sob Sapatas e Baldrames;Infraestrutura;3.04;m³;5.0;3.19;m³ (0.5 betoneira);AÇU-3.DES-2.3100-11-EGS-051/052;-;-
1.1.4;Concreto Usinado fck 30 MPa para 32 Sapatas Isoladas (S1-S24 e SE1-SE8);Infraestrutura;8.55;m³;5.0;8.98;m³ (2 betoneiras);AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.5;Fôrma Compensado Resinado 17mm para Sapatas Isoladas (Tronco);Infraestrutura;35.88;m²;10.0;17;chapas (41.14 m²);AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.6;Concreto Usinado fck 30 MPa para Arranques dos Pilares P1-P24;Infraestrutura;1.86;m³;5.0;1.95;m³;AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.7;Fôrma Compensado Resinado 17mm para Arranques dos Pilares P1-P24;Infraestrutura;25.76;m²;10.0;12;chapas (29.04 m²);AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.8;Concreto Usinado fck 30 MPa para Vigas Baldrames VB1-VB19 (25x40cm - 140,44m);Infraestrutura;14.04;m³;5.0;14.74;m³ (2 betoneiras);AÇU-3.DES-2.3100-11-EGS-053/054;-;-
1.1.9;Fôrma Compensado Resinado 17mm para Vigas Baldrames (140,44m);Infraestrutura;112.35;m²;10.0;52;chapas (125.84 m²);AÇU-3.DES-2.3100-11-EGS-053/054;-;-
1.1.10;Armadura CA-50 Ø8,0mm (Armadura das 32 Sapatas Isoladas);Infraestrutura;256.00;kg;5.0;68;barras 12m (268.8 kg);AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.11;Armadura CA-50 Ø6,3mm / Ø12,5mm (Arranques dos Pilares P1-P24);Infraestrutura;145.70;kg;5.0;38;barras 12m (153.0 kg);AÇU-3.DES-2.3100-11-EGS-052;-;-
1.1.12;Armadura CA-50 Vigas Baldrames VB1-VB19 (EGS-053: 694,8kg + EGS-054: 382,5kg);Infraestrutura;1077.30;kg;5.0;199;barras 12m (1131.2 kg);AÇU-3.DES-2.3100-11-EGS-053/054;-;-
1.1.13;Impermeabilização Tinta Asfáltica (Baldrames e Sapatas);Infraestrutura;183.36;m²;10.0;201.70;m² (12 galões 18L);AÇU-3.DES-2.3100-11-EGS-051/054;-;-
1.1.14;Reaterro Compactado de Cavas e Valas c/ Maço/Sapo Líquido;Infraestrutura;31.17;m³;0.0;31.17;m³;AÇU-3.DES-2.3100-11-EGS-051/052;-;-
1.1.15;Bota-fora e Carga de Terra c/ Empolamento 1,25 Líquido;Infraestrutura;20.10;m³;0.0;25.13;m³ (3 caminhões 12m³);AÇU-3.DES-2.3100-11-EGS-051/052;-;-
