Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$)
3.1.1;Cabo Cobre Flexível 750V 2,5mm² (Iluminação/TUG);Elétrica;1850.0;m;10.0;21.0;rolos de 100m (2035m);AÇU-3.DES-2.3100-16-EGS-013;R$ 7,36;R$ 13.616,00
3.1.2;Cabo Cobre Flexível 750V 4,0mm² (Tomadas TUG/TUE);Elétrica;640.0;m;10.0;8.0;rolos de 100m (704m);AÇU-3.DES-2.3100-16-EGS-013;R$ 10,75;R$ 6.880,00
3.1.3;Cabo Cobre Flexível 750V 6,0mm² (Ar Condicionado);Elétrica;420.0;m;10.0;5.0;rolos de 100m (462m);AÇU-3.DES-2.3100-16-EGS-013;R$ 16,28;R$ 6.837,60
3.1.4;Cabo Cobre Sintenax 0,6/1kV 35mm² (Alimentador);Elétrica;120.0;m;5.0;126.0;m;AÇU-3.DES-2.3100-16-EGS-013;R$ 87,11;R$ 10.453,20
3.1.5;"Eletroduto Rígido PVC Ø3/4"" (25mm) c/ Conexões";Elétrica;480.0;m;10.0;176.0;varas de 3m (528m);AÇU-3.DES-2.3100-16-EGS-013;R$ 17,74;R$ 8.515,20
3.1.6;"Eletroduto Rígido PVC Ø1"" (32mm) c/ Conexões";Elétrica;210.0;m;10.0;77.0;varas de 3m (231m);AÇU-3.DES-2.3100-16-EGS-013;R$ 23,14;R$ 4.859,40
3.1.7;"Caixa de Embutir 4x2"" PVC Amarela para Parede";Elétrica;184.0;unid;5.0;194.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 4,07;R$ 748,88
3.1.8;"Caixa de Embutir 4x4"" PVC Amarela para Parede";Elétrica;24.0;unid;5.0;26.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 7,38;R$ 177,12
3.1.9;"Caixa Octogonal 3x3"" PVC para Teto";Elétrica;68.0;unid;5.0;72.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 5,72;R$ 388,96
3.1.10;"Conjunto Suporte + Placa 4x2"" c/ Parafusos";Elétrica;184.0;unid;5.0;194.0;conjuntos;AÇU-3.DES-2.3100-16-EGS-013;R$ 10,81;R$ 1.989,04
3.1.11;Módulo de Tomada 2P+T 10A / 250V (Branca);Elétrica;110.0;unid;5.0;116.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 18,44;R$ 2.028,40
3.1.12;Módulo de Tomada 2P+T 20A / 250V (Vermelha TUE);Elétrica;24.0;unid;5.0;26.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 21,36;R$ 512,64
3.1.13;Módulo Interruptor Simples 10A;Elétrica;22.0;unid;5.0;24.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 15,90;R$ 349,80
3.1.14;Módulo Interruptor Paralelo (Three-Way) 10A;Elétrica;8.0;unid;5.0;9.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 19,33;R$ 154,64
3.1.15;Cabo UTP Cat6 LSZH 4 Pares (Dados/Voz);Telecom;1450.0;m;10.0;16.0;rolos de 100m (1600m);AÇU-3.DES-2.3100-16-EGS-013;R$ 11,94;R$ 17.313,00
3.1.16;Módulo Tomada RJ45 Cat6 Keystone;Telecom;36.0;unid;5.0;38.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 49,79;R$ 1.792,44
3.1.17;"Rack Metalico Telecom 19"" 12U de Parede";Telecom;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 862,50;R$ 862,50
3.1.18;"Patch Panel 24 Portas Cat6 19""";Telecom;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 1.331,45;R$ 2.662,90
3.1.19;Switch Gigabit Ethernet 24 Portas PoE;Telecom;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 2.817,50;R$ 2.817,50
3.1.20;Quadro Geral de Distribuição QDG 150A Trifásico;Elétrica;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 1.080,94;R$ 1.080,94
3.1.21;Quadro de Distribuição de Luz QDF 24 Elementos embutir;Elétrica;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 805,79;R$ 1.611,58
