codigo_eap;tipo_fonte;cod_referencia;preco_override;categoria_bdi;descricao_referencia
1.0.1;COT;COT-ADM-01;17800.00;SERVICO;Equipe de Gestão Técnica de Obra (Engenheiro Residente 60% + Mestre de Obras 100%)
1.0.2;COT;COT-ADM-02;11500.00;SERVICO;Equipe de Apoio e Segurança (Técnico Seg Trabalho + Almoxarife + Vigia)
1.0.3;COT;COT-ADM-03;6383.33;SERVICO;Locação de Containers NR-18 (4 un) + Sanitários Químicos (2 un) + Frete
1.0.4;COT;COT-ADM-04;2350.00;SERVICO;Contas Provisórias de Consumo de Canteiro (Energia, Água Pipa e Internet Fibra)
1.0.5;COT;COT-ADM-05;18176.00;SERVICO;Vivência, Alimentação (Café+Almoço 16 operários) e Logística de Transporte (VT/Vans)
1.0.6;COT;COT-ADM-06;4833.33;SERVICO;Saúde Ocupacional (PGR/PCMSO/ASO), Fardamento/EPIs e Apoio Mecânico c/ Caçambas
1.1.1;COMP;90082;;SERVICO;Escavação mecanizada de vala prof até 1,5m
1.1.2;COMP;96624;6.80;SERVICO;Apiloamento e compactação manual/mecânica fundo vala
1.1.3;COMP;96616;;SERVICO;Lastro concreto magro fck 15 MPa sob sapatas e baldrames
1.1.4;COMP;96558;;SERVICO;Concretagem de sapata fck 30 MPa com uso de bomba
1.1.5;COMP;104929;;SERVICO;Fôrma compensado resinado 17mm para sapatas isoladas
1.1.6;COMP;103672;;SERVICO;Concretagem arranques pilares fck 30 MPa c/ bomba
1.1.7;COMP;92412;138.50;SERVICO;Fôrma compensado resinado 17mm para arranques pilares
1.1.8;COMP;96557;;SERVICO;Concretagem vigas baldrames fck 30 MPa c/ bomba
1.1.9;COMP;92443;115.40;SERVICO;Fôrma compensado resinado 17mm vigas baldrames
1.1.10;COMP;104919;;SERVICO;Armação sapatas aço CA-50 d=8mm
1.1.11;COMP;92763;;SERVICO;Armação arranques pilares aço CA-50 d=6,3/12,5mm
1.1.12;COMP;104920;;SERVICO;Armação vigas baldrames aço CA-50
1.1.13;COMP;98557;;SERVICO;Impermeabilização emulsão asfáltica 2 demãos baldrames/sapatas
1.1.14;COMP;93382;;SERVICO;Reaterro manual compactado c/ sapo em valas
1.1.15;COMP;100982;18.50;SERVICO;Carga e transporte de terra bota-fora
1.2.1;COMP;103672;;SERVICO;Concretagem pilares fck 30 MPa c/ bomba
1.2.2;COMP;92412;138.50;SERVICO;Fôrma compensado resinado 17mm pilares
1.2.3;COMP;103674;;SERVICO;Concretagem vigas superiores e cobertura fck 30 MPa
1.2.4;COMP;92443;115.40;SERVICO;Fôrma compensado resinado 17mm vigas superiores
1.2.5;COMP;103674;;SERVICO;Concretagem capa laje treliçada fck 30 MPa e=5cm
1.2.6;COMP;92452;98.20;SERVICO;Fôrma compensado resinado 17mm fundo de laje
1.2.7;COMP;92482;18.50;SERVICO;Escoramento/cimbramento metálico vigas e lajes
1.2.8;COMP;101964;26.50;SERVICO;Vigotas treliçadas TR 16745 p/ lajes H12
1.2.9;INS;11950;;SERVICO;Enchimento blocos EPS B16/30/100 laje
1.2.10;COMP;92762;;SERVICO;Armação CA-50 pilares e vigas
1.2.11;COMP;92771;;SERVICO;Armação CA-60 lajes treliçadas
2.1.1.1;INS;34568;;SERVICO;Bloco concreto estrutural 14x19x39cm B144
2.1.1.2;INS;34567;3.85;SERVICO;Meio bloco concreto 14x19x19cm B142
2.1.1.3;INS;34569;7.20;SERVICO;Bloco canaleta concreto 14x19x39cm C144
2.1.1.4;COMP;105798;1322.95;SERVICO;Grauteamento com graute fino industrializado p/ canaletas
2.1.1.5;INS;34;2.63;SERVICO;Barra de aço CA-50 d=8mm vergas e contravergas (0,395 kg/m)
2.1.1.6;INS;1379;;SERVICO;Cimento Portland CP II-E-32 argamassa
2.1.1.7;INS;1106;;SERVICO;Cal hidratada CH-I argamassa
2.1.1.8;INS;370;;SERVICO;Areia média lavada argamassa
2.1.1.9;INS;38384;4.50;SERVICO;Tela metálica galvanizada 15x50cm amarração pilar
2.1.1.10;INS;39025;0.65;SERVICO;Pinos de aço c/ arruela p/ finca-pinos
2.1.1.11;INS;40552;12.80;SERVICO;Encunhamento flexível topo parede sob vigas
2.1.2;COMP;87878;;SERVICO;Chapisco traço 1:3 e=5mm em paredes
2.1.3;COMP;87529;;SERVICO;Emboço/reboco paulista traço 1:2:8 e=20mm paredes
2.1.4;COMP;87620;;SERVICO;Contrapiso regularização e=3cm sobre laje
2.1.5.1;COMP;87262;;SERVICO;Piso porcelanato retificado 60x60cm
2.1.5.2;INS;37595;;SERVICO;Argamassa colante AC-III porcelanato (kg)
2.1.5.3;INS;34357;;SERVICO;Rejunte flexível porcelanato junta 2mm
2.1.5.4;INS;39328;0.35;SERVICO;Clips niveladores plásticos porcelanato
2.1.5.5;INS;39329;0.85;SERVICO;Cunhas niveladoras plásticas porcelanato
2.1.5.6;INS;3777;;SERVICO;Lona plástica pesada preta e=150 micra p/ proteção pisos
2.1.6.1;COMP;87263;95.40;SERVICO;Revestimento cerâmico Eliane 45x45 parede WC
2.1.6.2;INS;34353;;SERVICO;Argamassa colante AC-II cerâmica (kg)
2.1.6.3;INS;34357;;SERVICO;Rejunte cerâmico antimofo junta 3mm
2.1.6.4;INS;39328;0.15;SERVICO;Espaçadores cruzetas plásticas 2mm e 3mm
2.1.7;COMP;88648;28.50;SERVICO;Rodapé porcelanato h=10cm
2.1.8.1;COMP;88489;;SERVICO;Pintura látex acrílica 2 a 3 demãos paredes e tetos
2.1.8.2;INS;6085;;SERVICO;Selador acrílico base água reboco
2.1.8.3;INS;3768;;SERVICO;Lixa grossa reboco grão 80/100
2.1.8.4;INS;3769;;SERVICO;Lixa fina gesso/massa grão 150/220
2.1.8.5;INS;20078;0.45;SERVICO;Fita crepe 24mm x 50m pintura
2.1.9.1;COMP;90843;;SERVICO;Kit porta de madeira semi-oca padrão médio 80x210
2.1.9.2;INS;2432;18.50;SERVICO;Dobradiças 3.1/2 x 3 aço inox p/ portas
2.1.9.3;INS;3111;65.00;SERVICO;Fechaduras completas cilindro/gorge
2.1.9.4;INS;39026;22.00;SERVICO;Batedores de porta piso amortecedor inox
2.1.9.5;INS;38124;27.00;SERVICO;Espuma de poliuretano expansiva 750ml marcos
2.1.9.6;INS;4383;0.45;SERVICO;Parafusos e buchas nylon S8 batentes
2.1.9.7;INS;5075;0.08;SERVICO;Pregos sem cabeça 12x12 alizares
2.1.9.8;INS;2143;14.50;SERVICO;Cola branca PVA madeira D3 500g
2.1.10.1;COMP;94570;367.85;SERVICO;Esquadrias de alumínio vidro janelas J1-J4
2.1.10.2;INS;36214;28.50;SERVICO;Selante PU 40 silicone neutro 310ml caixilhos
2.1.11.1;COMP;98546;52.40;SERVICO;Impermeabilização polimérica sanitários e copa
2.1.11.2;INS;38148;4.20;SERVICO;Tela de poliéster reforço impermeabilização
2.2.1.1;COMP;94216;;SERVICO;Telhamento com telha metálica termoacústica e=30mm
2.2.1.2;INS;39027;0.85;SERVICO;Parafusos autobrocantes 12x1 c/ arruela EPDM
2.2.1.3;INS;39028;0.65;SERVICO;Parafusos de costura 10x3/4 c/ arruela EPDM
2.2.1.4;INS;38149;3.80;SERVICO;Fita de vedação butílica autoadesiva 15mm
2.2.2.1;COMP;104314;12.16;SERVICO;Terças metálicas perfil U enrijecido (kg ou m conv)
2.2.2.2;INS;11964;8.50;SERVICO;Chumbadores parabolts CBA 3/8 x 3
2.2.3;COMP;105764;62.50;SERVICO;Muretas escalonadas apoio entreforro bloco 9x19x39
2.2.4.1;INS;1108;;SERVICO;Calha chapa galvanizada nº 24 dev 80cm
2.2.4.2;INS;5109;0.25;SERVICO;Rebites de repuxo alumínio 4,0x10mm calhas
2.2.4.3;INS;36214;28.50;SERVICO;Selante PU 40 calafetação calhas e rufos
2.2.5;INS;1117;32.50;SERVICO;Rufo e pingadeira metálica platibanda dev 40cm
2.2.6.1;COMP;98548;78.50;SERVICO;Impermeabilização manta asfáltica 4mm calhas
2.2.6.2;INS;6086;18.50;SERVICO;Primer asfáltico base solvente calhas (L)
2.2.6.3;INS;3146;115.00;SERVICO;Gás GLP botijão P-13 p/ maçarico manta
2.2.7;INS;39029;48.00;SERVICO;Ralo hemisférico tipo abacaxi inox d=150mm
2.2.8;COMP;107361;72.80;SERVICO;Alvenaria platibanda bloco concreto 14x19x39cm
