Código EAP;Item / Descrição;Disciplina;Qtd Projeto;Unidade;Preço Unitário (R$);Preço Total Turnkey (R$);% Mês 1;R$ Mês 1;% Mês 2;R$ Mês 2;% Mês 3;R$ Mês 3;% Mês 4;R$ Mês 4;% Mês 5;R$ Mês 5;% Mês 6;R$ Mês 6
1.0.1;Equipe de Gestão Técnica de Obra (Engenheiro Residente 60% + Mestre de Obras 100%);Administração Local e Canteiro;6.0;mês;R$ 22.636,26;R$ 135.817,56;0.16666666666666666;22636.26;0.16666666666666666;22636.26;0.16666666666666666;22636.26;0.16666666666666666;22636.26;0.16666666666666666;22636.26;0.16666666666666666;22636.26
1.0.2;Equipe de Apoio e Segurança (Técnico Seg Trabalho + Almoxarife + Vigia);Administração Local e Canteiro;6.0;mês;R$ 14.624,55;R$ 87.747,30;0.16666666666666666;14624.55;0.16666666666666666;14624.55;0.16666666666666666;14624.55;0.16666666666666666;14624.55;0.16666666666666666;14624.55;0.16666666666666666;14624.55
1.0.3;Locação de Módulos Habitáveis Containers NR-18 (4 un) + Sanitários Químicos (2 un) + Frete;Administração Local e Canteiro;6.0;mês;R$ 8.117,68;R$ 48.706,08;0.16666666666666666;8117.68;0.16666666666666666;8117.68;0.16666666666666666;8117.68;0.16666666666666666;8117.68;0.16666666666666666;8117.68;0.16666666666666666;8117.68
1.0.4;Contas Provisórias de Consumo de Canteiro (Energia, Água Pipa e Internet Fibra);Administração Local e Canteiro;6.0;mês;R$ 2.988,50;R$ 17.931,00;0.16666666666666666;2988.5;0.16666666666666666;2988.5;0.16666666666666666;2988.5;0.16666666666666666;2988.5;0.16666666666666666;2988.5;0.16666666666666666;2988.5
1.0.5;Vivência, Alimentação (Café+Almoço 16 operários) e Logística de Transporte (VT/Vans);Administração Local e Canteiro;6.0;mês;R$ 23.114,42;R$ 138.686,52;0.16666666666666666;23114.42;0.16666666666666666;23114.42;0.16666666666666666;23114.42;0.16666666666666666;23114.42;0.16666666666666666;23114.42;0.16666666666666666;23114.42
1.0.6;Saúde Ocupacional (PGR/PCMSO/ASO), Fardamento/EPIs e Apoio Mecânico c/ Caçambas;Administração Local e Canteiro;6.0;mês;R$ 6.146,55;R$ 36.879,30;0.16666666666666666;6146.55;0.16666666666666666;6146.55;0.16666666666666666;6146.55;0.16666666666666666;6146.55;0.16666666666666666;6146.55;0.16666666666666666;6146.55
1.1.1;Escavação Mecanizada/Manual de Cavas e Valas (Geometria Líquida);Infraestrutura;51.27;m³;R$ 14,28;R$ 732,14;1.0;732.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.2;Apiloamento e Compactação do Fundo de Cava/Vala Líquido;Infraestrutura;60.74;m²;R$ 8,65;R$ 525,40;1.0;525.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.3;Lastro de Concreto Magro fck 15 MPa e=5cm sob Sapatas e Baldrames;Infraestrutura;3.04;m³;R$ 1.116,12;R$ 3.393,00;1.0;3393.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.4;Concreto Usinado fck 30 MPa para 32 Sapatas Isoladas (S1-S24 e SE1-SE8);Infraestrutura;8.55;m³;R$ 951,89;R$ 8.138,66;1.0;8138.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.5;Fôrma Compensado Resinado 17mm para Sapatas Isoladas (Tronco);Infraestrutura;35.88;m²;R$ 133,06;R$ 4.774,19;1.0;4774.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.6;Concreto Usinado fck 30 MPa para Arranques dos Pilares P1-P24;Infraestrutura;1.86;m³;R$ 830,15;R$ 1.544,08;1.0;1544.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.7;Fôrma Compensado Resinado 17mm para Arranques dos Pilares P1-P24;Infraestrutura;25.76;m²;R$ 176,13;R$ 4.537,11;1.0;4537.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
