COD_LOTE;DATA_INICIO;DATA_FIM;ETAPA_ZONA;VAGAO_ESTEIRA;SERVICO_LOTE;DURACAO_DIAS;EQUIPE_PREVISTA;HEADCOUNT_PREVISTO;STATUS_EXECUCAO;RDO_VINCULADO
A01;01/10/2026;12/10/2026;Zona 01 - Recepção/Diretoria;Vagão 01: Topografia & Canteiro;Mobilização de Canteiro NR-18 e Locação Geral com Estação Total;10;1 Topógrafo + 2 Ajudantes + 4 Serventes + Engenheiro Residente;8;CONCLUIDO;RDO-001
A02;13/10/2026;19/10/2026;Zona 01 a 03 (Fundações Gerais);Vagão 02: Fundações Sapatas;Escavação Mecanizada de Cavas e Valas de Fundação (S1 a S32);6;1 Operador de Retroescavadeira + 2 Armadores (Bancada) + 4 Serventes;7;CONCLUIDO;RDO-002
A03;20/10/2026;27/10/2026;Zona 01 a 03 (Fundações Gerais);Vagão 02: Fundações Sapatas;Concreto Magro, Fôrmas, Armação e Concretagem das 32 Sapatas Isoladas;7;3 Carpinteiros + 2 Armadores + 2 Pedreiros + 4 Serventes;11;CONCLUIDO;RDO-003
A04;28/10/2026;05/11/2026;Zona 01 a 03 (Baldrames Térreo);Vagão 03: Vigas Baldrames;Fôrmas, Armação e Concretagem das Vigas Baldrames VB1 a VB19;8;4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes;14;PROGRAMADO;
A05;06/11/2026;09/11/2026;Zona 01 a 03 (Baldrames Térreo);Vagão 03: Vigas Baldrames;Impermeabilização Asfáltica com Tinta Betuminosa em Baldrames (Portão 1);3;2 Impermeabilizadores + 3 Serventes (SUB-01);5;PROGRAMADO;
A06;10/11/2026;12/11/2026;Zona 01 a 03 (Cota Zero);Vagão 01: Topografia & Canteiro;Reaterro Compactado com Solo Cimento, Nivelamento e Bota-fora;3;1 Operador + 1 Compactadorista + 3 Serventes;5;PROGRAMADO;
A07;13/11/2026;23/11/2026;Zona 01 a 03 (Pilares P1 a P24);Vagão 04: Pilares Supraestrutura;Fôrmas, Armação, Prumo e Concretagem dos 24 Pilares de Supraestrutura;9;4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes;14;PROGRAMADO;
A08;24/11/2026;02/12/2026;Zona 01 a 03 (Vigamento Superior);Vagão 05: Vigas & Laje H12;Cimbramento Metálico, Fôrmas e Armação das Vigas Superiores V101 a V115;8;4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes;14;PROGRAMADO;
A09;03/12/2026;09/12/2026;Térreo Geral (Laje Superior H12);Vagão 05: Vigas & Laje H12;Vigotas Treliçadas, Blocos EPS, Malha Q-138 e Concretagem da Laje H12;6;1 Mestre + 4 Carpinteiros + 3 Pedreiros + 6 Serventes;14;PROGRAMADO;
A10;10/12/2026;23/12/2026;Térreo Geral (Laje Superior H12);Vagão 05: Vigas & Laje H12;Cura Úmida Contínua e Desforma Controlada com Re-escoramento (Portão 2);12;2 Carpinteiros + 2 Serventes (SUB-01);4;PROGRAMADO;
A11;24/12/2026;04/01/2027;Zona 04 - Cobertura e Platibanda;Vagão 07: Cobertura Metálica;Montagem das Terças Metálicas da Cobertura em Perfil U e Rufos;10;3 Montadores Especialistas + 2 Ajudantes + 4 Serventes Apoio;9;PROGRAMADO;
A12;24/12/2026;15/01/2027;Zona 01 a 03 (Alvenarias Internas);Vagão 06: Alvenaria de Vedação;Alvenaria de Vedação em Blocos de Concreto 14x19x39 com Vergas e Telas;20;5 Pedreiros + 5 Serventes (SUB-02);10;PROGRAMADO;
A13;16/01/2027;27/01/2027;Zona 04 - Cobertura e Platibanda;Vagão 07: Cobertura Metálica;Instalação de Telhas Termoacústicas Sandwich PIR 30mm, Calhas e Platibanda;10;3 Montadores Especialistas + 2 Ajudantes + 4 Serventes Apoio;9;PROGRAMADO;
