LOCAL_PAVIMENTO;SEQUENCIA;VAGAO;ATIVIDADE;EQUIPE_RESPONSAVEL;RITMO_DIAS_POR_LOCAL;DATA_INICIO;DATA_FIM
Zona 01 - Recepção/Diretoria;1;01. Topografia & Canteiro;Topografia & Canteiro;SUB-01 Topografia e Locação;3;01/10/2026;03/10/2026
Zona 01 - Recepção/Diretoria;2;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;05/10/2026;07/10/2026
Zona 01 - Recepção/Diretoria;3;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;08/10/2026;10/10/2026
Zona 02 - Salas Técnicas/CPD;4;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;12/10/2026;14/10/2026
Zona 02 - Salas Técnicas/CPD;5;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;15/10/2026;17/10/2026
Zona 03 - Sanitários e Apoio;6;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;19/10/2026;21/10/2026
Zona 03 - Sanitários e Apoio;7;02. Fundações Sapatas;Fundações Sapatas;SUB-01 Estruturas e Concreto;3;22/10/2026;24/10/2026
Zona 01 - Recepção/Diretoria;8;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;3;26/10/2026;28/10/2026
Zona 01 - Recepção/Diretoria;9;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;2;29/10/2026;30/10/2026
Zona 02 - Salas Técnicas/CPD;10;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;1;31/10/2026;31/10/2026
Zona 02 - Salas Técnicas/CPD;11;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;2;02/11/2026;03/11/2026
Zona 03 - Sanitários e Apoio;12;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;1;04/11/2026;04/11/2026
Zona 01 - Recepção/Diretoria;13;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;2;05/11/2026;06/11/2026
Zona 03 - Sanitários e Apoio;14;03. Vigas Baldrames;Vigas Baldrames;SUB-01 Estruturas e Concreto;1;07/11/2026;07/11/2026
Zona 01 - Recepção/Diretoria;15;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;2;09/11/2026;10/11/2026
Zona 02 - Salas Técnicas/CPD;16;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;1;11/11/2026;11/11/2026
Zona 02 - Salas Técnicas/CPD;17;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;2;12/11/2026;13/11/2026
Zona 03 - Sanitários e Apoio;18;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;1;14/11/2026;14/11/2026
Zona 01 - Recepção/Diretoria;19;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;2;16/11/2026;17/11/2026
Zona 03 - Sanitários e Apoio;20;04. Pilares Supraestrutura;Pilares Supraestrutura;SUB-01 Estruturas e Concreto;1;18/11/2026;18/11/2026
Zona 02 - Salas Técnicas/CPD;21;05. Vigas & Laje H12;Vigas & Laje H12;SUB-01 Estruturas e Concreto;2;19/11/2026;20/11/2026
Zona 03 - Sanitários e Apoio;22;05. Vigas & Laje H12;Vigas & Laje H12;SUB-01 Estruturas e Concreto;1;21/11/2026;21/11/2026
Zona 01 - Recepção/Diretoria;23;05. Vigas & Laje H12;Vigas & Laje H12;SUB-01 Estruturas e Concreto;1;23/11/2026;23/11/2026
Zona 02 - Salas Técnicas/CPD;24;05. Vigas & Laje H12;Vigas & Laje H12;SUB-01 Estruturas e Concreto;1;24/11/2026;24/11/2026
Zona 03 - Sanitários e Apoio;25;05. Vigas & Laje H12;Vigas & Laje H12;SUB-01 Estruturas e Concreto;1;25/11/2026;25/11/2026
Zona 01 - Recepção/Diretoria;26;06. Alvenaria de Vedação;Alvenaria de Vedação;SUB-02 Alvenaria e Revestimento;3;26/11/2026;28/11/2026
Zona 02 - Salas Técnicas/CPD;27;06. Alvenaria de Vedação;Alvenaria de Vedação;SUB-02 Alvenaria e Revestimento;3;30/11/2026;02/12/2026
Zona 03 - Sanitários e Apoio;28;06. Alvenaria de Vedação;Alvenaria de Vedação;SUB-02 Alvenaria e Revestimento;3;03/12/2026;05/12/2026
Zona 04 - Cobertura e Platibanda;29;07. Cobertura Metálica;Cobertura Metálica;SUB-07 Coberturas Metálicas;3;07/12/2026;09/12/2026
Zona 04 - Cobertura e Platibanda;30;07. Cobertura Metálica;Cobertura Metálica;SUB-07 Coberturas Metálicas;3;10/12/2026;12/12/2026
Zona 01 - Recepção/Diretoria;31;08. Instalações Embutidas;Instalações Embutidas;SUB-03 Elétrica e Lógica;1;14/12/2026;14/12/2026
Zona 02 - Salas Técnicas/CPD;32;08. Instalações Embutidas;Instalações Embutidas;SUB-03 Elétrica e Lógica;1;15/12/2026;15/12/2026
Zona 03 - Sanitários e Apoio;33;08. Instalações Embutidas;Instalações Embutidas;SUB-03 Elétrica e Lógica;1;16/12/2026;16/12/2026
Zona 01 - Recepção/Diretoria;34;08. Instalações Embutidas;Instalações Embutidas;SUB-04 Hidráulica e Sanitários;1;17/12/2026;17/12/2026
Zona 02 - Salas Técnicas/CPD;35;08. Instalações Embutidas;Instalações Embutidas;SUB-04 Hidráulica e Sanitários;1;18/12/2026;18/12/2026
Zona 03 - Sanitários e Apoio;36;08. Instalações Embutidas;Instalações Embutidas;SUB-04 Hidráulica e Sanitários;1;19/12/2026;19/12/2026
