Conta / Rubrica Financeira;Natureza;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Total Consolidado (R$)
1. ENTRADAS DE CAIXA (RECEBIMENTOS);GRUPO;;;;;;;;
1.1 Faturamento Bruto de Medições;Receita Bruta;21687.14;14582.16;14582.16;14582.16;0.00;65433.62
1.2 Retenção Técnica Contratual (5%);Dedução;1084.36;729.11;729.11;729.11;0.00;3271.69
1.3 Faturamento Líquido de Medições;Receita Líquida;20602.78;13853.05;13853.05;13853.05;0.00;62161.93
1.4 Recebimento Efetivo de Medições (D+15);Inflow;0.00;20602.78;13853.05;13853.05;13853.05;62161.93
1.5 Devolução da Retenção Técnica (TRD M7);Inflow;0.00;0.00;0.00;0.00;3271.69;3271.69
TOTAL DE ENTRADAS DE CAIXA (A);Total Inflow;0.00;20602.78;13853.05;13853.05;17124.74;65433.62
;;;;;;;;;
2. SAÍDAS DE CAIXA (DESEMBOLSOS);GRUPO;;;;;;;;
2.1 Equipe Técnica de Gestão (Eng/Mestre/TST);MO Gestão;17200.00;17200.00;17200.00;17200.00;0.00;68800.00
2.2 Vivência, Alimentação (16 op.) e Transporte;Vivência;23009.33;23009.33;23009.33;23009.33;0.00;92037.32
2.3 Mão de Obra de Campo (Serviços Físicos);MO Campo;0.00;0.00;0.00;0.00;0.00;0.00
2.4 Materiais e Insumos Civis (Sinal à Vista);Material;0.00;0.00;0.00;0.00;0.00;0.00
2.5 Materiais e Insumos Civis (Prazo D+30);Material;0.00;0.00;0.00;0.00;0.00;0.00
2.6 Locação de Containers NR-18 e Sanitários;Equipamento;3191.66;6383.32;6383.32;6383.32;3191.66;25533.28
2.7 Contas de Consumo (Água, Luz, Internet);Canteiro;1175.00;2350.00;2350.00;2350.00;1175.00;9400.00
2.8 Tributos sobre Faturamento (8,65% NF);Tributos;0.00;1875.94;1261.36;1261.36;1261.36;5660.02
2.9 Custos Indiretos Centrais BDI (AC/Seguros);Indireto;971.69;971.69;971.69;971.69;0.00;3886.76
TOTAL DE SAÍDAS DE CAIXA (B);Total Outflow;45547.68;51790.28;51175.70;51175.70;5628.02;205317.38
;;;;;;;;;
3. BALANÇO E SALDOS DE CAIXA;GRUPO;;;;;;;;
3.1 Saldo Operacional Líquido do Mês (A - B);Resultado;-45547.68;-31187.50;-37322.65;-37322.65;11496.72;-139883.76
3.2 Saldo de Caixa Acumulado (Cenário Realista);Acumulado;-45547.68;-76735.18;-114057.83;-151380.48;-139883.76;-139883.76
3.3 Saldo Acumulado (Cenário Otimista c/ Adiantamento);Sensibilidade;-39004.32;-71827.66;-110786.15;-149744.64;-139883.76;-139883.76
3.4 Saldo Acumulado (Cenário Estresse Atraso 30d);Sensibilidade;-45547.68;-97337.96;-127910.88;-165233.53;-157008.50;-157008.50
