Grupo;Função / Cargo;Categoria;Custo Base Ref (R$/mês);Mês 1;Mês 2;Mês 3;Mês 4
Gestão;Engenheiro Residente (60%);Mensalista;10680.0;1;1;1;1
Gestão;Mestre de Obras Geral (100%);Mensalista;7120.0;1;1;1;1
SST / Apoio;Técnico de Segurança do Trabalho (TST);Mensalista;4500.0;1;1;1;1
SST / Apoio;Almoxarife / Apontador de Campo;Mensalista;3500.0;1;1;1;1
SST / Apoio;Vigia Noturno / Segurança Patrimonial;Mensalista;3500.0;1;1;1;1
Produção;Pedreiro Oficial (Alvenaria / Reboco);Horista/Produção;3200.0;2;2;5;4
Produção;Ladrilhista / Azulejista (Porcelanato);Horista/Produção;3400.0;0;0;0;0
Produção;Carpinteiro de Fôrmas e Escoramento;Horista/Produção;3200.0;0;4;0;0
Produção;Armador de Ferragens CA-50/CA-60;Horista/Produção;3200.0;2;3;0;0
Produção;Montador de Estrutura Metálica / Telhadista;Especialista;3600.0;0;0;3;0
Produção;Pintor Oficial Imobiliário;Horista/Produção;3100.0;0;0;0;0
Produção;Servente de Obras / Ajudante Prático;Horista/Produção;2200.0;4;5;5;4
Instalações;Eletricista Instalador / Telecom;Oficial;3300.0;0;0;0;2
Instalações;Encanador / Bombeiro Hidráulico;Oficial;3300.0;0;0;0;2
Instalações;Mecânico / Montador de Climatização HVAC;Especialista;3800.0;0;0;0;0
Instalações;Marceneiro / Montador de Esquadrias;Oficial;3200.0;0;0;0;0
Apoio;Operador de Retroescavadeira / Máquinas;Operador;3600.0;1;0;0;0
Apoio;Auxiliar de Limpeza Especializada Pós-Obra;Apoio;2100.0;0;0;0;0
