LOCAL_PAVIMENTO;SEQUENCIA;VAGAO;ATIVIDADE;EQUIPE_RESPONSAVEL;RITMO_DIAS_POR_LOCAL;DATA_INICIO;DATA_FIM
Zona 01 - Recepção/Diretoria;1;01. Topografia & Canteiro;Topografia & Canteiro;SUB-01 Topografia e Locação;3;01/10/2026;03/10/2026
Zona 01 - Recepção/Diretoria;2;02. Fundações Sapatas;Escavação & Pré-Armação de Bancada;SUB-01 Estruturas e Concreto;3;05/10/2026;07/10/2026
Zona 01 - Recepção/Diretoria;3;02. Fundações Sapatas;Carpintaria & Armação;SUB-01 Estruturas e Concreto;3;08/10/2026;10/10/2026
Zona 02 - Salas Técnicas/CPD;4;02. Fundações Sapatas;Escavação, Concretagem & Pré-Armação;SUB-01 Estruturas e Concreto;3;12/10/2026;14/10/2026
Zona 02 - Salas Técnicas/CPD;5;02. Fundações Sapatas;Carpintaria & Armação;SUB-01 Estruturas e Concreto;3;15/10/2026;17/10/2026
Zona 03 - Sanitários e Apoio;6;03. Vigas Baldrames;Escavação, Concretagem & Pré-Armação;SUB-01 Estruturas e Concreto;3;19/10/2026;21/10/2026
Zona 03 - Sanitários e Apoio;7;02. Fundações Sapatas;Carpintaria & Armação;SUB-01 Estruturas e Concreto;3;22/10/2026;24/10/2026
Zona 01 - Recepção/Diretoria;8;03. Vigas Baldrames;Carpintaria de Baldrames;SUB-01 Estruturas e Concreto;3;26/10/2026;28/10/2026
Zona 01 - Recepção/Diretoria;9;03. Vigas Baldrames;Fôrmas VB7-12 & Concretagem VB1-6;SUB-01 Estruturas e Concreto;3;29/10/2026;31/10/2026
Zona 02 - Salas Técnicas/CPD;10;03. Vigas Baldrames;Fôrmas VB13-19 & Concretagem VB7-12;SUB-01 Estruturas e Concreto;3;02/11/2026;04/11/2026
Zona 03 - Sanitários e Apoio;11;03. Vigas Baldrames;Concretagem VB13-19 & Fôrmas Pilares P1-8;SUB-01 Estruturas e Concreto;3;05/11/2026;07/11/2026
Zona 01 - Recepção/Diretoria;12;04. Pilares Supraestrutura;Concretagem P1-8 & Fôrmas Pilares P9-16;SUB-01 Estruturas e Concreto;3;09/11/2026;11/11/2026
Zona 02 - Salas Técnicas/CPD;13;04. Pilares Supraestrutura;Concretagem P9-16 & Fôrmas Pilares P17-24;SUB-01 Estruturas e Concreto;3;12/11/2026;14/11/2026
Zona 03 - Sanitários e Apoio;14;04. Pilares Supraestrutura;Concretagem P17-24 & Cimbramento Vigas;SUB-01 Estruturas e Concreto;3;16/11/2026;18/11/2026
Zona 02 - Salas Técnicas/CPD;15;05. Vigas & Laje H12;Cimbramento e Armação Vigas Superiores;SUB-01 Estruturas e Concreto;3;19/11/2026;21/11/2026
Zona 01 - Recepção/Diretoria;16;05. Vigas & Laje H12;Montagem Vigotas Treliçadas & Concretagem Capa H12;SUB-01 Estruturas e Concreto;3;23/11/2026;25/11/2026
Zona 02 - Salas Técnicas/CPD;17;05. Vigas & Laje H12;Montagem Vigotas Treliçadas & Concretagem Capa H12;SUB-01 Estruturas e Concreto;3;23/11/2026;25/11/2026
Zona 03 - Sanitários e Apoio;18;05. Vigas & Laje H12;Montagem Vigotas Treliçadas & Concretagem Capa H12;SUB-01 Estruturas e Concreto;3;23/11/2026;25/11/2026
Zona 01 - Recepção/Diretoria;19;06. Alvenaria de Vedação;Alvenaria de Blocos;SUB-02 Alvenaria e Revestimento;3;26/11/2026;28/11/2026
Zona 02 - Salas Técnicas/CPD;20;06. Alvenaria de Vedação;Alvenaria de Blocos;SUB-02 Alvenaria e Revestimento;3;30/11/2026;02/12/2026
Zona 03 - Sanitários e Apoio;21;06. Alvenaria de Vedação;Alvenaria de Blocos;SUB-02 Alvenaria e Revestimento;3;03/12/2026;05/12/2026
Zona 04 - Cobertura e Platibanda;22;07. Cobertura Metálica;Estrutura Metálica Cobertura;SUB-07 Coberturas Metálicas;3;07/12/2026;09/12/2026
Zona 04 - Cobertura e Platibanda;23;07. Cobertura Metálica;Telhamento Termoacústico;SUB-07 Coberturas Metálicas;3;10/12/2026;12/12/2026
Zona 01 - Recepção/Diretoria;24;08. Instalações Embutidas;Redes Elétricas & Hidráulicas Embutidas;SUB-03 Elétrica e Lógica;3;14/12/2026;16/12/2026
Zona 02 - Salas Técnicas/CPD;25;08. Instalações Embutidas;Redes Elétricas & Hidráulicas Embutidas;SUB-03 Elétrica e Lógica;3;14/12/2026;16/12/2026
Zona 03 - Sanitários e Apoio;26;08. Instalações Embutidas;Redes Elétricas & Hidráulicas Embutidas;SUB-03 Elétrica e Lógica;3;14/12/2026;16/12/2026
Zona 01 - Recepção/Diretoria;27;08. Instalações Embutidas;Teste Hidrostático Estanqueidade;SUB-04 Hidráulica e Sanitários;3;17/12/2026;19/12/2026
Zona 02 - Salas Técnicas/CPD;28;08. Instalações Embutidas;Teste Hidrostático Estanqueidade;SUB-04 Hidráulica e Sanitários;3;17/12/2026;19/12/2026
Zona 03 - Sanitários e Apoio;29;08. Instalações Embutidas;Teste Hidrostático Estanqueidade;SUB-04 Hidráulica e Sanitários;3;17/12/2026;19/12/2026
Zona 01 - Recepção/Diretoria;30;09. Reboco Paulista;Chapisco Rolado;SUB-02 Alvenaria e Revestimento;3;21/12/2026;23/12/2026
Zona 01 - Recepção/Diretoria;31;09. Reboco Paulista;Reboco Paulista Mecanizado;SUB-02 Alvenaria e Revestimento;3;24/12/2026;26/12/2026
Zona 02 - Salas Técnicas/CPD;32;09. Reboco Paulista;Reboco Paulista Mecanizado;SUB-02 Alvenaria e Revestimento;3;28/12/2026;30/12/2026
Zona 03 - Sanitários e Apoio;33;10. Pisos & Porcelanato;Impermeabilização Áreas Molhadas;SUB-01 Impermeabilização;3;31/12/2026;02/01/2027
Zona 01 - Recepção/Diretoria;34;10. Pisos & Porcelanato;Regularização de Contrapiso;SUB-02 Alvenaria e Revestimento;3;04/01/2027;06/01/2027
Zona 01 - Recepção/Diretoria;35;10. Pisos & Porcelanato;Assentamento de Porcelanato;SUB-05 Acabamentos e Pisos;3;07/01/2027;09/01/2027
Zona 02 - Salas Técnicas/CPD;36;10. Pisos & Porcelanato;Assentamento de Porcelanato;SUB-05 Acabamentos e Pisos;3;11/01/2027;13/01/2027
Zona 03 - Sanitários e Apoio;37;10. Pisos & Porcelanato;Revestimento Cerâmico WCs;SUB-05 Acabamentos e Pisos;3;14/01/2027;16/01/2027
Zona 01 - Recepção/Diretoria;38;10. Pisos & Porcelanato;Rejunte Geral e Rodapés;SUB-05 Acabamentos e Pisos;3;18/01/2027;20/01/2027
Zona 02 - Salas Técnicas/CPD;39;10. Pisos & Porcelanato;Rejunte Geral e Rodapés;SUB-05 Acabamentos e Pisos;3;18/01/2027;20/01/2027
Zona 03 - Sanitários e Apoio;40;10. Pisos & Porcelanato;Rejunte Geral e Rodapés;SUB-05 Acabamentos e Pisos;3;18/01/2027;20/01/2027
Zona 01 - Recepção/Diretoria;41;11. Esquadrias de Alumínio;Esquadrias de Alumínio;SUB-07 Caixilharia e Esquadrias;3;21/01/2027;23/01/2027
Zona 03 - Sanitários e Apoio;42;11. Esquadrias de Alumínio;Esquadrias de Alumínio & Portas;SUB-07 Caixilharia e Esquadrias;3;25/01/2027;27/01/2027
Zona 01 - Recepção/Diretoria;43;12. Climatização HVAC;Climatização & Redes Frigorígenas;SUB-08 Climatização e HVAC;3;28/01/2027;30/01/2027
Zona 02 - Salas Técnicas/CPD;44;12. Climatização HVAC;Climatização & Redes Frigorígenas;SUB-08 Climatização e HVAC;3;28/01/2027;30/01/2027
Zona 03 - Sanitários e Apoio;45;12. Climatização HVAC;Climatização & Redes Frigorígenas;SUB-08 Climatização e HVAC;3;28/01/2027;30/01/2027
Zona 01 - Recepção/Diretoria;46;00. Outros Serviços;Teste de Estanqueidade Redes HVAC;SUB-08 Climatização e HVAC;3;01/02/2027;03/02/2027
Zona 02 - Salas Técnicas/CPD;47;00. Outros Serviços;Teste de Estanqueidade Redes HVAC;SUB-08 Climatização e HVAC;3;01/02/2027;03/02/2027
Zona 03 - Sanitários e Apoio;48;00. Outros Serviços;Teste de Estanqueidade Redes HVAC;SUB-08 Climatização e HVAC;3;01/02/2027;03/02/2027
Zona 01 - Recepção/Diretoria;49;13. Acabamentos Elétr./Hidr.;Cabos Elétricos & Telecom;SUB-03 Elétrica e Lógica;3;04/02/2027;06/02/2027
