"COD_LOTE";"SEMANA";"DIAS_SEMANA";"ETAPA_ZONA";"VAGAO_ESTEIRA";"SERVICO_LOTE";"META_FISICA";"DURACAO_DIAS";"EQUIPE_PREVISTA";"HEADCOUNT_PREVISTO";"EQUIPAMENTOS_PREVISTOS";"MATERIAIS_UCC";"RUP_META_HH_UNID";"STATUS_EXECUCAO";"RDO_VINCULADO"
"LOTE-001";"Semana 01";"Dias 01 a 03 (Seg-Qua)";"Etapa 1 (Zona 1 - Geral)";"Vagão 01: Topografia & Canteiro";"Mobilização de Canteiro NR-18 e Locação Gabarito Geral";"100% canteiro montado + 368 m² gabarito tábua corrida";"3";"1 Topógrafo + 2 Ajudantes + 4 Serventes";"7";"LOC-02 Caminhão Munck + Estação Total";"Containers NR-18, pontaletes e tábuas 30cm";"0,38 HH/m²";"CONCLUIDO";"RDO-001"
"LOTE-002";"Semana 01";"Dias 04 a 06 (Qui-Sáb)";"Etapa 1 (Zona 1 - S1 a S12)";"Vagão 02: Escavação & Pré-Armação de Bancada";"Escavação Mecanizada e Lastro S1 a S12 + Corte e Dobra de Armaduras na Bancada";"12 cavas de sapatas (19,2 m³ escav. + 1,14 m³ lastro) + 96 kg aço CA-50 cortado e dobrado na central";"3";"1 Operador + 2 Armadores (Central de Aço) + 4 Serventes";"7";"LOC-01 Mini Retroescavadeira + LOC-05 Gerador + Dobradeira elétrica";"Piquetes de locação + Concreto magro fck 15 MPa + Aço CA-50 Ø8mm (96 kg)";"0,95 HH/m³";"CONCLUIDO";"RDO-002"
"LOTE-003";"Semana 02";"Dias 07 a 09 (Seg-Qua)";"Etapa 1 (Zona 1 - S1 a S12)";"Vagão 03: Carpintaria & Armação";"Armação e Fôrmas das Sapatas S1 a S12 (Etapa 1)";"12 sapatas (96 kg aço CA-50 + 13,45 m² fôrmas compensado)";"3";"2 Carpinteiros + 2 Armadores + 4 Serventes";"8";"LOC-05 Gerador + Dobradeira elétrica portátil";"Aço CA-50 Ø8mm cortado e dobrado + Painéis fôrma 17mm";"1,10 HH/m³";"CONCLUIDO";"RDO-003"
"LOTE-004";"Semana 02";"Dias 10 a 12 (Qui-Sáb)";"Etapa 2 (Zona 2 - S13 a S24)";"Vagão 02: Escavação, Concretagem & Pré-Armação";"Escavação/Lastro S13 a S24 + Concretagem S1 a S12 + Corte e Dobra Bancada S13 a S24";"12 cavas (19,2 m³) + Concretagem S1-12 (3,21 m³) + 96 kg aço CA-50 cortado e dobrado na central";"3";"1 Operador + 2 Armadores (Central de Aço) + 2 Pedreiros + 4 Serventes";"9";"LOC-01 Retroescavadeira + Vibrador mangote 45mm + Dobradeira elétrica";"Concreto usinado fck 30 MPa (1 betoneira) + Lastro 15 MPa + Aço CA-50 Ø8mm";"0,85 HH/m³";"CONCLUIDO";"RDO-004"
"LOTE-005";"Semana 03";"Dias 13 a 15 (Seg-Qua)";"Etapa 2 (Zona 2 - S13 a S24)";"Vagão 03: Carpintaria & Armação";"Armação e Fôrmas Sapatas S13 a S24 [Etapa 1 em Cura e Desforma]";"12 sapatas (96 kg aço CA-50 + 13,45 m² fôrmas) + Desforma S1-S12";"3";"2 Carpinteiros + 2 Armadores + 4 Serventes";"8";"LOC-05 Gerador + Desmoldante ecológico";"Aço CA-50 Ø8mm + Painéis de fôrma reaproveitados";"1,05 HH/m³";"CONCLUIDO";"RDO-005"
"LOTE-006";"Semana 03";"Dias 16 a 18 (Qui-Sáb)";"Etapa 3 (Zona 3 - S25 a S32)";"Vagão 02: Escavação, Concretagem & Pré-Armação";"Escavação S25 a S32 + Concretagem S13 a S24 + Corte e Dobra Bancada S25 a S32 e Baldrames";"8 cavas (12,8 m³ escavação) + 3,21 m³ concreto fck 30 MPa + 64 kg aço sapatas cortado";"3";"1 Operador + 2 Armadores (Central de Aço) + 2 Pedreiros + 4 Serventes";"9";"LOC-01 Retroescavadeira + Vibrador 45mm + Dobradeira elétrica + Jericas";"Concreto usinado fck 30 MPa + Lastro magro fck 15 MPa + Aço CA-50";"0,85 HH/m³";"CONCLUIDO";"RDO-006"
"LOTE-007";"Semana 04";"Dias 19 a 21 (Seg-Qua)";"Etapa 3 (Zona 3 - S25 a S32)";"Vagão 03: Carpintaria & Armação";"Armação, Fôrmas e Concretagem Sapatas S25 a S32 (Etapa 3)";"8 sapatas finais (64 kg aço + 8,98 m² fôrmas + 2,13 m³ conc)";"3";"2 Carpinteiros + 2 Armadores + 1 Pedreiro + 4 Serventes";"9";"LOC-05 Gerador + Vibrador 45mm";"Aço CA-50 + Fôrmas 17mm + Concreto fck 30 (Total 32 sapatas)";"0,90 HH/m³";"CONCLUIDO";"RDO-007"
"LOTE-008";"Semana 04";"Dias 22 a 24 (Qui-Sáb)";"Etapa 1 (Zona 1 - Baldrames VB1 a VB6)";"Vagão 03: Carpintaria de Baldrames";"Montagem Fôrmas e Armação Baldrames VB1 a VB6 [Esteira Entra em Vigas]";"48 m vigas baldrames 25x40cm + 368 kg aço CA-50 cortado";"3";"3 Carpinteiros + 2 Armadores + 4 Serventes";"9";"LOC-05 Gerador + Dobradeira elétrica + Espaçadores";"Compensado resinado 17mm + Aço CA-50 Ø10/12.5mm";"1,20 HH/m³";"CONCLUIDO";"RDO-008"
"LOTE-009";"Semana 05";"Dias 25 a 27 (Seg-Qua)";"Etapa 1 e 2 (Zona 1 e 2 - Baldrames)";"Vagão 03: Fôrmas VB7-12 & Concretagem VB1-6";"Concretagem VB1 a VB6 (Etapa 1) + Fôrmas/Armação VB7 a VB12 (Etapa 2)";"4,8 m³ concreto VB1-6 + 46 m fôrmas/armação VB7-12 (350 kg aço)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"LOC-05 Gerador + Vibrador 45mm + Jericas";"Concreto fck 30 MPa usinado + Compensado 17mm + Aço CA-50";"1,10 HH/m³";"PROGRAMADO";""
"LOTE-010";"Semana 05";"Dias 28 a 30 (Qui-Sáb)";"Etapa 2 e 3 (Zona 2 e 3 - Baldrames)";"Vagão 03: Fôrmas VB13-19 & Concretagem VB7-12";"Concretagem VB7 a VB12 (Etapa 2) + Fôrmas/Armação VB13 a VB19 (Etapa 3)";"4,6 m³ concreto VB7-12 + 46 m fôrmas VB13-19 (359 kg aço)";"3";"4 Carpinteiros + 3 Armadores + 2 Pedreiros + 5 Serventes";"14";"LOC-05 Gerador + Vibrador 45mm + Calhas";"Concreto fck 30 MPa + Compensado resinado 17mm";"1,10 HH/m³";"PROGRAMADO";""
